time/fps,time/iterations,train/n_updates,time/time_elapsed,train/reward,train/explained_variance,train/value_loss,train/std,train/learning_rate,train/policy_loss,time/total_timesteps,train/entropy_loss
94,100,99,5,0.30342928,-1.1920928955078125e-07,6.515247344970703,0.9997321963310242,0.0007,90.59990692138672,500,-41.14459991455078
103,200,199,9,1.6824137,0.0941469669342041,16.13031578063965,1.000872254371643,0.0007,155.27987670898438,1000,-41.1749153137207
106,300,299,14,0.85987866,-0.11383140087127686,5.0642900466918945,1.000321388244629,0.0007,68.42464447021484,1500,-41.15472412109375
108,400,399,18,2.106099,5.960464477539063e-08,6.5082879066467285,0.9991520643234253,0.0007,81.1069564819336,2000,-41.11320114135742
109,500,499,22,3.6827102,0.0014774799346923828,49.80483627319336,0.9995073676109314,0.0007,-206.00608825683594,2500,-41.12828063964844
110,600,599,27,1.6070575,0.0,15.752089500427246,1.0004515647888184,0.0007,1.4463608264923096,3000,-41.156612396240234
111,700,699,31,-0.23484224,0.0,2.0086629390716553,1.0022740364074707,0.0007,-43.86875915527344,3500,-41.2119026184082
111,800,799,35,-4.2885046,-0.021190643310546875,172.18359375,1.002734899520874,0.0007,-476.3822326660156,4000,-41.2203369140625
112,900,899,39,0.40819895,0.04370439052581787,22.73103904724121,1.0021222829818726,0.0007,-194.17864990234375,4500,-41.20418930053711
112,1000,999,44,-1.4140513,-0.005705595016479492,43.9669075012207,1.001638650894165,0.0007,-238.3473663330078,5000,-41.18697738647461
113,1100,1099,48,-0.0728019,0.034534335136413574,3.6827526092529297,1.001402497291565,0.0007,-25.481313705444336,5500,-41.18036651611328
112,1200,1199,53,0.8766986,0.0,11.746162414550781,1.0033890008926392,0.0007,130.63265991210938,6000,-41.231971740722656
112,1300,1299,58,0.21260391,0.02324509620666504,6.056516647338867,1.0029760599136353,0.0007,86.67086029052734,6500,-41.22552490234375
111,1400,1399,62,-1.3360282,-1.1920928955078125e-07,2.231415271759033,1.0037108659744263,0.0007,33.74795150756836,7000,-41.24209213256836
111,1500,1499,67,-0.47816664,-0.2648729085922241,3.595710039138794,1.0062354803085327,0.0007,68.43667602539062,7500,-41.315223693847656
111,1600,1599,71,-2.3011665,0.21686452627182007,9.567995071411133,1.0051711797714233,0.0007,-120.08855438232422,8000,-41.28306198120117
111,1700,1699,76,1.8477738,0.0,59.37026596069336,1.0048718452453613,0.0007,274.9600524902344,8500,-41.276885986328125
111,1800,1799,80,-0.3243129,-0.04665577411651611,10.713875770568848,1.0051785707473755,0.0007,123.4013900756836,9000,-41.288265228271484
111,1900,1899,84,0.55783117,0.0,0.1710219830274582,1.005892038345337,0.0007,-1.1316245794296265,9500,-41.30208969116211
112,2000,1999,89,-0.86023104,0.0,10.825514793395996,1.005757212638855,0.0007,117.5216064453125,10000,-41.29987335205078
112,2100,2099,93,-0.030573329,0.0,0.973685085773468,1.0073037147521973,0.0007,-20.706710815429688,10500,-41.34603500366211
112,2200,2199,97,1.9326204,5.960464477539063e-08,51.616756439208984,1.010656476020813,0.0007,253.30247497558594,11000,-41.441524505615234
112,2300,2299,102,-0.32346407,0.0,16.517242431640625,1.009028434753418,0.0007,-169.88792419433594,11500,-41.39533996582031
112,2400,2399,106,0.6316614,0.0,63.23848342895508,1.0100641250610352,0.0007,-346.8792419433594,12000,-41.430450439453125
112,2500,2499,110,-0.9142108,0.1210286021232605,1.3704612255096436,1.0121792554855347,0.0007,17.537385940551758,12500,-41.4825439453125
112,2600,2599,115,-1.2250516,0.03863930702209473,0.47505423426628113,1.0134297609329224,0.0007,10.397910118103027,13000,-41.519264221191406
112,2700,2699,119,-0.055026174,0.0,10.661715507507324,1.0138789415359497,0.0007,-137.26358032226562,13500,-41.52863311767578
113,2800,2799,123,-0.8477935,-1.1920928955078125e-07,0.622081458568573,1.0145684480667114,0.0007,-25.614547729492188,14000,-41.5460205078125
113,2900,2899,128,-5.9614673,0.0,43.27436065673828,1.014674186706543,0.0007,198.50914001464844,14500,-41.551849365234375
113,3000,2999,132,1.4624009,-1.1920928955078125e-07,22.564910888671875,1.0145758390426636,0.0007,30.874475479125977,15000,-41.549434661865234
113,3100,3099,136,0.20730749,-0.9195497035980225,0.49879810214042664,1.0147701501846313,0.0007,-10.574941635131836,15500,-41.552589416503906
113,3200,3199,141,0.5993737,0.0,1.0043362379074097,1.0166207551956177,0.0007,17.88151741027832,16000,-41.60384750366211
113,3300,3299,145,0.872102,1.1920928955078125e-07,9.783940315246582,1.0183696746826172,0.0007,-114.86474609375,16500,-41.64312744140625
113,3400,3399,150,2.3062325,-1.1920928955078125e-07,4.586439609527588,1.019481897354126,0.0007,84.20673370361328,17000,-41.679046630859375
113,3500,3499,154,1.4177605,0.0,9.5792875289917,1.0203042030334473,0.0007,108.7375259399414,17500,-41.70388412475586
113,3600,3599,158,-2.6411688,0.0,37.21971893310547,1.019551396369934,0.0007,-176.00389099121094,18000,-41.680877685546875
113,3700,3699,163,0.25978723,0.0,0.02522333525121212,1.0225714445114136,0.0007,-0.6511913537979126,18500,-41.755550384521484
113,3800,3799,167,0.8628143,5.960464477539063e-08,0.7590211033821106,1.024193286895752,0.0007,6.497068881988525,19000,-41.81661605834961
113,3900,3899,171,-1.902065,0.0,5.152819633483887,1.0245403051376343,0.0007,80.78362274169922,19500,-41.82674789428711
113,4000,3999,176,1.9665523,-1.1920928955078125e-07,6.291006565093994,1.0267874002456665,0.0007,95.06598663330078,20000,-41.882171630859375
113,4100,4099,180,-0.44425532,0.0,1.2472275495529175,1.0267255306243896,0.0007,-40.00634765625,20500,-41.880226135253906
113,4200,4199,184,0.17529969,0.0,21.616931915283203,1.0284754037857056,0.0007,181.25430297851562,21000,-41.93209457397461
