time/fps,train/n_updates,train/critic_loss,time/episodes,train/actor_loss,time/time_elapsed,train/reward,time/total_timesteps,train/learning_rate
78,12215,10.28407096862793,4,-57.009239196777344,157,1.0215354,12316,0.001
78,24531,9.668829917907715,8,-29.61452865600586,315,1.0215354,24632,0.001
78,36847,3.052971839904785,12,-17.091543197631836,472,1.0215354,36948,0.001
78,49163,3.3604583740234375,16,-16.759811401367188,630,1.0215354,49264,0.001
