train/reward,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/std,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/explained_variance,train/loss
-7.473547,128,1,2048,15,,,,,,,,,,,
-2.443586,123,2,4096,33,10,0.225927734375,-0.022852906509069727,13.024896419048309,1.003619909286499,0.00025,-41.209579825401306,0.2,0.016206287,0.006144285202026367,6.046560287475586
2.1922061,123,3,6144,49,20,0.20390625,-0.023421938461251558,39.486510103940965,1.0040419101715088,0.00025,-41.26250874996185,0.2,0.014711756,0.008085191249847412,13.367240905761719
3.3309667,123,4,8192,66,30,0.1498046875,-0.02250837664178107,55.95181239843369,1.0046781301498413,0.00025,-41.27493855953217,0.2,0.01604123,-0.013686776161193848,32.31533432006836
1.6079994,123,5,10240,82,40,0.1814453125,-0.019131627457682043,11.649276384711266,1.0056616067886353,0.00025,-41.295487236976626,0.2,0.015938867,-0.002884387969970703,4.666107654571533
1.2723864,123,6,12288,99,50,0.213623046875,-0.018946863121527713,50.18565013408661,1.006630539894104,0.00025,-41.326715278625485,0.2,0.014759363,0.003780364990234375,15.8312349319458
1.3061515,123,7,14336,116,60,0.134716796875,-0.0222063809982501,48.56450972557068,1.0075005292892456,0.00025,-41.35138885974884,0.2,0.013361124,0.006194412708282471,13.88012409210205
-1.0612748,123,8,16384,132,70,0.22666015625,-0.025937570352107288,18.899084812402727,1.0097216367721558,0.00025,-41.404964447021484,0.2,0.017899156,-0.0381464958190918,10.157238960266113
1.3673567,123,9,18432,149,80,0.136572265625,-0.019232217274839057,67.83967957496642,1.0102086067199707,0.00025,-41.43769533634186,0.2,0.01369304,0.004862427711486816,27.183916091918945
0.1787164,123,10,20480,165,90,0.11513671875,-0.013321836065733806,55.20586323738098,1.0104689598083496,0.00025,-41.44407696723938,0.2,0.012397109,0.00585407018661499,28.584938049316406
